# Station Code,mnpi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:35
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,FCRN,HAYM,HAYP,LAWN,PAST,POTA,SGRN,WGRN,WGRP
09/03,0.19,0.225,0.208,0.18,0.197,0.18,0.148,0.185,,,0.1
09/04,0.18,0.212,0.197,0.168,0.183,0.168,0.138,0.172,,,0.03
09/05,0.203,0.237,0.217,0.19,0.205,0.19,0.153,0.19,,,0.1
09/06,0.192,0.225,0.207,0.18,0.195,0.18,0.145,0.18,,,0.12
09/07,0.21,0.247,0.222,0.198,0.212,0.198,0.157,0.197,,,0.12
09/08,0.163,0.19,0.17,0.152,0.165,0.152,0.12,0.152,,,0.14
09/09,0.17,0.197,0.175,0.158,0.17,0.158,0.125,0.157,,,0.14
09/10,0.17,0.202,0.163,0.16,0.172,0.16,0.127,0.158,,,0.12
09/11,0.152,0.178,0.176,0.142,0.153,0.142,0.11,0.137,,,0.12
09/12,0.162,0.19,0.176,0.153,0.163,0.153,0.12,0.147,,,0.11
09/13,0.142,0.17,0.152,0.133,0.145,0.135,0.105,0.127,,,0.08
09/14,0.16,0.188,0.164,0.15,0.163,0.15,0.117,0.142,,,0.11
09/15,0.187,0.218,0.186,0.172,0.187,0.175,0.133,0.165,,,0.1
09/16,0.165,0.193,0.156,0.152,0.165,0.157,0.117,0.142,,,0.1
09/17,0.16,0.188,0.168,0.147,0.16,0.15,0.113,0.135,,,0.13
09/18,0.17,0.198,0.18,0.153,0.17,0.16,0.117,0.142,,,0.12
09/19,0.162,0.192,0.154,0.148,0.162,0.153,0.112,0.133,,,0.1
09/20,0.118,0.138,0.132,0.108,0.117,0.108,0.078,0.078,,,0.08
09/21,0.112,0.13,0.118,0.1,0.112,0.105,0.072,0.084,,,0.03
09/22,0.138,0.163,0.142,0.127,0.138,0.132,0.085,0.102,,,0.04
09/23,0.143,0.172,0.142,0.13,0.143,0.138,0.092,0.106,,,0.07
09/24,0.148,0.172,0.144,0.128,0.142,0.138,0.085,0.098,,,0.08
09/25,0.142,0.167,0.084,0.125,0.14,0.133,0.08,0.084,,,0.0
09/26,0.147,0.173,0.153,0.13,0.147,0.137,0.078,0.113,,,
09/27,0.15,0.175,0.163,0.13,0.147,0.14,0.08,0.105,,,
09/28,0.132,0.153,0.16,0.113,0.13,0.122,0.067,0.088,,,
09/29,0.13,0.153,0.133,0.115,0.128,0.123,0.063,0.075,,,
09/30,0.0,0.0,0.077,0.123,0.138,0.0,0.0,0.0,,,
10/01,,,0.11,0.092,0.105,,,,,,
10/02,,,0.15,0.092,0.107,,,,,,
10/03,,,0.11,0.09,0.102,,,,,,
10/04,,,0.06,0.083,0.097,,,,,,
10/05,,,0.0,0.083,0.098,,,,,,
10/06,,,,0.078,0.093,,,,,,
10/07,,,,0.085,0.1,,,,,,
10/08,,,,0.087,0.102,,,,,,
10/09,,,,0.073,0.088,,,,,,
10/10,,,,0.082,0.098,,,,,,
10/11,,,,0.067,0.083,,,,,,
10/12,,,,0.063,0.078,,,,,,
10/13,,,,0.073,0.088,,,,,,
10/14,,,,0.082,0.1,,,,,,
10/15,,,,0.07,0.083,,,,,,
10/16,,,,0.068,0.085,,,,,,
10/17,,,,0.095,0.118,,,,,,
10/18,,,,0.073,0.09,,,,,,
10/19,,,,0.06,0.075,,,,,,
10/20,,,,0.0,0.0,,,,,,
