# Station Code,fthi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:30
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEET,FCRN,LAWN,PAST,POTA,SGRN,WGRN
09/06,0.216,0.255,0.232,0.226,0.204,0.165,0.187,,
09/07,0.235,0.276,0.252,0.243,0.221,0.18,0.198,,
09/08,0.228,0.268,0.241,0.235,0.215,0.175,0.185,,
09/09,0.232,0.272,0.242,0.235,0.218,0.174,0.184,,
09/10,0.23,0.271,0.239,0.234,0.217,0.174,0.158,,
09/11,0.218,0.255,0.225,0.219,0.205,0.161,0.174,,
09/12,0.207,0.243,0.212,0.208,0.194,0.153,0.165,,
09/13,0.202,0.239,0.209,0.202,0.191,0.152,0.151,,
09/14,0.204,0.238,0.206,0.203,0.188,0.148,0.149,,
09/15,0.185,0.217,0.187,0.16,0.174,0.135,0.138,,
09/16,0.198,0.233,0.198,0.201,0.187,0.144,0.155,,
09/17,0.193,0.226,0.192,0.187,0.182,0.138,0.134,,
09/18,0.214,0.25,0.208,0.214,0.2,0.153,0.145,,
09/19,0.18,0.212,0.178,0.174,0.17,0.129,0.113,,
09/20,0.174,0.205,0.172,0.124,0.164,0.124,0.029,,
09/21,0.165,0.192,0.158,0.139,0.154,0.114,0.093,,
09/22,0.155,0.181,0.148,0.159,0.144,0.106,0.107,,
09/23,0.16,0.188,0.152,0.158,0.15,0.106,0.117,,
09/24,0.171,0.2,0.162,0.156,0.161,0.111,0.14,,
09/25,0.181,0.213,0.17,0.023,0.171,0.117,0.097,,
09/26,0.179,0.212,0.166,0.27,0.169,0.113,0.14,,
09/27,0.163,0.192,0.152,0.16,0.154,0.099,0.095,,
09/28,0.163,0.192,0.149,0.03,0.152,0.096,0.05,,
09/29,0.15,0.176,0.138,0.04,0.14,0.085,0.06,,
09/30,0.138,0.162,0.124,0.0,0.128,0.077,0.0,,
10/01,0.126,0.148,0.112,,0.118,0.07,,,
10/02,0.132,0.155,0.117,,0.123,0.069,,,
10/03,0.134,0.156,0.117,,0.123,0.067,,,
10/04,0.135,0.159,0.117,,0.128,0.067,,,
10/05,0.007,0.009,0.074,,0.007,0.004,,,
10/06,0.07,0.08,0.089,,0.06,0.04,,,
10/07,0.14,0.16,0.118,,0.13,0.07,,,
10/08,0.14,0.16,0.109,,0.13,0.07,,,
10/09,0.21,0.25,0.108,,0.2,0.1,,,
10/10,,,0.062,,,,,,
10/11,,,0.082,,,,,,
10/12,,,0.086,,,,,,
10/13,,,0.094,,,,,,
10/14,,,0.1,,,,,,
10/15,,,0.0,,,,,,
