# Station Code,gfri
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:31
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEAN,BEET,FCRN,LAWN,PAST,POTA,PPMT,SCRN,SGRN,WGRN
08/16,0.305,0.358,0.211,0.347,0.334,0.286,0.243,0.283,,0.321,0.28,0.28
08/17,0.328,0.384,0.216,0.371,0.357,0.307,0.262,0.301,,0.334,0.3,0.3
08/18,0.319,0.374,0.198,0.361,0.347,0.3,0.254,0.289,,0.318,0.3,0.3
08/19,0.302,0.354,0.169,0.338,0.325,0.283,0.24,0.273,,0.286,0.22,0.22
08/20,0.269,0.316,0.117,0.3,0.29,0.252,0.214,0.242,,0.114,0.27,0.27
08/21,0.263,0.311,0.144,0.295,0.281,0.248,0.212,0.234,,0.273,0.25,0.25
08/22,0.288,0.342,0.151,0.322,0.308,0.274,0.232,0.255,,0.307,0.37,0.37
08/23,0.273,0.321,0.136,0.3,0.288,0.258,0.218,0.235,,0.268,0.24,0.24
08/24,0.291,0.342,0.142,0.321,0.307,0.273,0.232,0.249,,0.312,0.25,0.25
08/25,0.279,0.328,0.074,0.305,0.292,0.263,0.221,0.235,,0.24,0.3,0.3
08/26,0.272,0.32,0.167,0.295,0.283,0.258,0.216,0.225,,0.283,0.27,0.27
08/27,0.278,0.325,0.133,0.298,0.286,0.262,0.218,0.224,,0.237,0.3,0.3
08/28,0.286,0.337,0.147,0.307,0.295,0.269,0.225,0.228,,0.273,0.32,0.32
08/29,0.301,0.353,0.173,0.32,0.308,0.282,0.236,0.239,,0.35,0.22,0.22
08/30,0.306,0.359,0.13,0.322,0.312,0.287,0.238,0.231,,0.287,0.23,0.23
08/31,0.286,0.336,0.113,0.301,0.29,0.268,0.222,0.215,,0.277,0.25,0.25
09/01,0.315,0.369,0.0,0.328,0.316,0.297,0.245,0.189,,0.0,0.35,0.35
09/02,0.274,0.319,,0.283,0.271,0.255,0.212,0.205,,,0.24,0.24
