# Station Code,grei
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:31
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,FCRN,HAYM,HAYP,LAWN,PAST,POTA,SGRN,WGRN
09/15,0.191,0.224,0.193,0.186,0.201,0.188,0.136,0.174,,
09/16,0.198,0.231,0.176,0.175,0.192,0.182,0.138,0.167,,
09/17,0.192,0.227,0.2,0.18,0.196,0.186,0.137,0.166,,
09/18,0.248,0.29,0.262,0.235,0.257,0.241,0.171,0.215,,
09/19,0.188,0.221,0.192,0.18,0.198,0.187,0.127,0.161,,
09/20,0.173,0.203,0.2,0.169,0.186,0.174,0.114,0.137,,
09/21,0.154,0.18,0.181,0.157,0.171,0.161,0.098,0.133,,
09/22,0.167,0.197,0.154,0.141,0.156,0.148,0.103,0.116,,
09/23,0.18,0.212,0.16,0.146,0.164,0.154,0.109,0.12,,
09/24,0.182,0.216,0.172,0.157,0.172,0.165,0.107,0.114,,
09/25,0.199,0.232,0.147,0.168,0.186,0.178,0.112,0.118,,
09/26,0.21,0.247,0.201,0.175,0.198,0.189,0.114,0.157,,
09/27,0.181,0.214,0.179,0.158,0.175,0.168,0.097,0.123,,
09/28,0.164,0.192,0.166,0.143,0.164,0.155,0.084,0.096,,
09/29,0.163,0.193,0.167,0.146,0.167,0.158,0.08,0.093,,
09/30,0.0,0.0,0.05,0.137,0.158,0.0,0.0,0.0,,
10/01,,,0.16,0.114,0.13,,,,,
10/02,,,0.21,0.098,0.115,,,,,
10/03,,,0.17,0.099,0.115,,,,,
10/04,,,0.03,0.112,0.127,,,,,
10/05,,,0.0,0.107,0.124,,,,,
10/06,,,,0.103,0.122,,,,,
10/07,,,,0.124,0.147,,,,,
10/08,,,,0.118,0.142,,,,,
10/09,,,,0.103,0.124,,,,,
10/10,,,,0.136,0.163,,,,,
10/11,,,,0.107,0.128,,,,,
10/12,,,,0.101,0.121,,,,,
10/13,,,,0.115,0.139,,,,,
10/14,,,,0.113,0.14,,,,,
10/15,,,,0.103,0.127,,,,,
10/16,,,,0.111,0.136,,,,,
10/17,,,,0.127,0.156,,,,,
10/18,,,,0.094,0.117,,,,,
10/19,,,,0.08,0.098,,,,,
10/20,,,,0.0,0.0,,,,,
